선택 직무,질문 구성,번호,질문,모범 답변
법무/컴플라이언스,지원동기,1,해당직무에 관심을 갖게 된 계기가 뭔가요?,
법무/컴플라이언스,지원동기,2,로펌이 아닌 기업 법무를 선택한 이유는 무엇인가요?,
법무/컴플라이언스,지원동기,3,우리 회사의 컴플라이언스 체계에 대해 어떻게 평가하고 계시나요?,
법무/컴플라이언스,지원동기,4,해당 직무를 준비하면서 어떤 노력을 해오셨나요?,
법무/컴플라이언스,지원동기,5,우리 회사의 기업 윤리나 준법 경영 철학 중 공감되는 부분은 뭔가요?,
법무/컴플라이언스,지원동기,6,법무 담당자로서 이루고 싶은 목표가 있다면 말씀해 주세요.,
법무/컴플라이언스,지원동기,7,경쟁사와 비교했을 때 우리 회사의 컴플라이언스 시스템 강점은 뭐라고 보시나요?,
법무/컴플라이언스,지원동기,8,기업에서 법무 컴플라이언스가 왜 중요하다고 생각하시나요?,
법무/컴플라이언스,지원동기,9,만약 해외 법인 지원 업무를 맡게 된다면 괜찮으신가요?,
법무/컴플라이언스,지원동기,10,우리 회사에서 법무 담당자로 일하게 된다면 어떤 기여를 하고 싶으신가요?,
법무/컴플라이언스,지원동기,11,법무 직무가 회사 경영에 어떤 기여를 한다고 생각하시나요?,
법무/컴플라이언스,지원동기,12,최근 법률 이슈나 판례 중에 기억에 남는 게 있으신가요?,
법무/컴플라이언스,지원동기,13,기업 법무의 매력과 어려운 점을 각각 말씀해 주신다면요?,
법무/컴플라이언스,지원동기,14,입사 후 가장 먼저 검토하고 싶은 법무 영역이 있나요?,
법무/컴플라이언스,지원동기,15,우리 회사의 준법 경영을 강화하기 위해 어떻게 기여하시겠어요?,
법무/컴플라이언스,지원동기,16,"만약 오늘 면접에서 떨어진다면, 다음에 다시 도전하실 건가요?",
법무/컴플라이언스,지원동기,17,법무 직무 준비하면서 가장 어려웠던 점은 뭐였나요?,
법무/컴플라이언스,지원동기,18,우리 회사의 윤리 강령 중에서 본인의 가치관과 가장 맞는 부분은 뭔가요?,
법무/컴플라이언스,지원동기,19,"여러 회사에 지원하셨을 텐데, 다른 곳에도 합격하시면 우리 회사를 선택하실 건가요?",
법무/컴플라이언스,지원동기,20,지금 이 자리에서 우리 회사 법무 직무를 선택한 진짜 이유를 한 문장으로 말씀해 주세요.,
법무/컴플라이언스,강점/약점,1,본인의 성격 중 법무 업무에 가장 도움이 될 만한 강점은 뭔가요?,
법무/컴플라이언스,강점/약점,2,주변 사람들이 본인을 어떻게 평가하나요?,
법무/컴플라이언스,강점/약점,3,"본인이 생각하는 단점은 무엇이고, 어떻게 보완하고 계신가요?",
법무/컴플라이언스,강점/약점,4,논리적 사고 능력에 자신 있으신 편인가요?,
법무/컴플라이언스,강점/약점,5,압박 상황에서도 냉정하게 판단할 수 있나요?,
법무/컴플라이언스,강점/약점,6,꼼꼼함을 증명할 수 있는 구체적인 사례가 있을까요?,
법무/컴플라이언스,강점/약점,7,본인의 리서치 능력은 어느 정도라고 평가하시나요?,
법무/컴플라이언스,강점/약점,8,압박이 심한 데드라인 상황에서도 집중력을 유지할 수 있나요?,
법무/컴플라이언스,강점/약점,9,팀 프로젝트 할 때 본인은 주로 어떤 역할을 맡는 편인가요?,
법무/컴플라이언스,강점/약점,10,본인의 약점 때문에 업무에 문제가 생긴 적이 있나요?,
법무/컴플라이언스,강점/약점,11,법률 문서 작성 능력은 어느 정도라고 생각하시나요?,
법무/컴플라이언스,강점/약점,12,다른 지원자들과 비교했을 때 본인만의 차별화된 강점은 뭔가요?,
법무/컴플라이언스,강점/약점,13,법률 해석과 실무 적용 중에 뭐가 더 자신 있으신가요?,
법무/컴플라이언스,강점/약점,14,본인이 생각하기에 가장 어려워할 것 같은 법무 업무는 뭔가요?,
법무/컴플라이언스,강점/약점,15,여러 법률 이슈를 동시에 다루는 멀티태스킹에 자신 있으신가요?,
법무/컴플라이언스,강점/약점,16,본인의 협상 능력은 어느 정도라고 평가하시나요?,
법무/컴플라이언스,강점/약점,17,비판적 사고 능력은 어느 정도라고 생각하시나요?,
법무/컴플라이언스,강점/약점,18,본인의 강점을 법무 업무에서 어떻게 활용하실 건가요?,
법무/컴플라이언스,강점/약점,19,완벽주의 성향이 법무 업무에서 어떤 영향을 줄까요?,
법무/컴플라이언스,강점/약점,20,상사나 동료의 피드백을 받았을 때 어떻게 반응하는 편인가요?,
법무/컴플라이언스,직무관련1,1,계약서 검토 시 가장 중요하게 확인하는 부분은 뭔가요?,
법무/컴플라이언스,직무관련1,2,개인정보보호법의 주요 내용을 설명해 주실 수 있나요?,
법무/컴플라이언스,직무관련1,3,공정거래법에 대해 아는 대로 설명해 주세요.,
법무/컴플라이언스,직무관련1,4,내부 고발자 보호 제도에 대해 어떻게 생각하시나요?,
법무/컴플라이언스,직무관련1,5,리스크 관리 체계를 구축한다면 어떤 순서로 진행하시겠어요?,
법무/컴플라이언스,직무관련1,6,준법 감시인 제도가 뭔지 설명해 주시겠어요?,
법무/컴플라이언스,직무관련1,7,하도급법의 주요 내용을 아는 대로 말씀해 주세요.,
법무/컴플라이언스,직무관련1,8,지적재산권 보호가 왜 중요한지 본인의 생각을 말씀해 주세요.,
